y_true,y_proba_plain,y_proba_ooft,y_proba_blend
0,0.48782498,0.4881374,0.48799680620431896
1,0.109920494,0.13261133,0.12240045629441738
0,0.0018717617,0.0023492924,0.0021344036038499327
0,0.0059709176,0.007126691,0.006606592889875174
1,0.082246974,0.101878695,0.09304442070424557
1,0.121199936,0.122520596,0.12192629873752595
1,0.74843186,0.7594959,0.7545170903205871
1,0.5300942,0.5190033,0.523994192481041
1,0.4903508,0.5528495,0.5247250750660897
1,0.98602,0.98009026,0.9827586561441422
1,0.97228515,0.9704339,0.9712669581174851
1,0.9756271,0.9834172,0.9799116730690003
1,0.35555887,0.37372136,0.36554824113845824
0,0.13797782,0.12264321,0.12954378612339496
1,0.53732663,0.5132991,0.5241114944219589
0,0.6258949,0.68521637,0.6585217088460922
0,0.20552962,0.2181047,0.2124459147453308
0,0.11707056,0.11680208,0.1169228982180357
1,0.9760987,0.97754514,0.9768942505121231
1,0.6131643,0.6593741,0.6385797023773194
0,0.10072115,0.12081635,0.11177351027727128
0,0.695081,0.77001315,0.7362936824560166
0,0.90318537,0.8970289,0.8997993230819702
0,0.8737144,0.88458264,0.8796919256448745
1,0.61395156,0.65371007,0.6358187407255174
0,0.83975196,0.9178555,0.8827089071273804
0,0.62550914,0.6803242,0.655657422542572
0,0.13021357,0.10254661,0.11499674357473849
1,0.9965724,0.99638844,0.9964712083339691
0,0.11548414,0.10463523,0.10951724052429199
0,0.84773797,0.7751504,0.8078148156404495
0,0.1395976,0.1587203,0.15011508241295812
0,0.14160453,0.11903023,0.1291886638849974
1,0.07904888,0.06804194,0.07299506440758705
1,0.93915033,0.9490683,0.9446052193641663
1,0.12319862,0.07422768,0.09626460522413254
1,0.99055594,0.9925551,0.9916554689407349
0,0.28987938,0.2981357,0.2944203555583954
0,0.15110303,0.15775535,0.15476180538535117
0,0.03079004,0.020349871,0.025047947373241185
0,0.7587209,0.7153682,0.7348769098520279
1,0.52467066,0.589252,0.5601903945207596
0,0.009499603,0.006835514,0.008034354145638644
0,0.46361414,0.4738428,0.46923990100622176
1,0.6871663,0.58620304,0.631636494398117
1,0.597153,0.5403517,0.5659122824668885
0,0.08735548,0.09072878,0.08921079598367215
1,0.9809616,0.9789161,0.9798365890979768
0,0.15950271,0.1601952,0.1598835825920105
0,0.12543298,0.11219104,0.11814991235733033
0,0.002606234,0.0026784637,0.0026459603570401667
1,0.89386827,0.9024179,0.8985705643892288
1,0.85778,0.8785407,0.8691983729600906
1,0.9435895,0.9520733,0.948255580663681
1,0.8345996,0.82931423,0.8316926538944245
0,0.62042373,0.5973617,0.607739606499672
0,0.121240854,0.15677899,0.14078682959079744
0,0.4950037,0.5127724,0.5047764748334884
1,0.9772749,0.97912586,0.9782929241657257
1,0.6382324,0.69510436,0.6695119827985764
0,0.16438246,0.15512793,0.15929246619343757
1,0.84995407,0.82484764,0.836145532131195
1,0.5874988,0.63631004,0.6143449753522874
0,0.11657284,0.09126992,0.10265623368322849
0,0.08241539,0.06898217,0.07502711713314056
1,0.10523411,0.11185765,0.10887705795466901
0,0.09290525,0.07074575,0.08071752712130546
0,0.8196287,0.78418505,0.8001347005367279
0,0.1757297,0.11472749,0.1421784874051809
0,0.5691474,0.5620813,0.565261036157608
1,0.9954982,0.99418217,0.9947743743658066
1,0.5721835,0.5062752,0.535933917760849
1,0.868753,0.8170345,0.8403078228235245
0,0.03889076,0.03418584,0.03630305510014296
0,0.6574669,0.6896953,0.6751925140619278
0,0.033395503,0.038259428,0.03607066161930561
1,0.97985166,0.9737405,0.9764905333518982
1,0.89385265,0.85227764,0.8709863930940628
1,0.10283061,0.07405746,0.08700537793338298
1,0.99609715,0.99787915,0.9970772475004197
0,0.1020176,0.08559571,0.09298555999994278
1,0.67449194,0.63385975,0.6521442383527756
1,0.5455482,0.5644201,0.5559277474880219
1,0.46284533,0.44838083,0.454889851808548
0,0.48898983,0.49590012,0.4927904918789864
0,0.59180653,0.5246926,0.5548938661813736
1,0.6951233,0.7973947,0.7513725727796554
1,0.6359808,0.66599375,0.6524879157543182
0,0.44154334,0.3765745,0.4058104708790779
0,0.48256862,0.43920857,0.4587205916643143
1,0.92698795,0.92536634,0.9260960638523101
0,0.32171977,0.38883153,0.35863123387098317
1,0.31979114,0.33739075,0.3294709250330925
1,0.80475295,0.87122226,0.8413110673427582
0,0.15500236,0.1454678,0.14975835159420967
1,0.23239434,0.19274801,0.21058885753154755
1,0.72273445,0.6730544,0.6954104214906692
0,0.61531824,0.5662164,0.5883122324943542
0,0.26483312,0.28611475,0.27653801888227464
0,0.08671154,0.10562259,0.09711261764168738
0,0.576008,0.57619536,0.5761110574007033
0,0.23017333,0.27410966,0.25433831438422205
1,0.7060935,0.67528456,0.6891485810279847
0,0.0022414045,0.0020463872,0.002134144969750196
0,0.061496776,0.038413025,0.04880071301013231
1,0.32001108,0.32145512,0.3208053022623062
1,0.93847305,0.936192,0.9372184574604034
1,0.85346067,0.86604995,0.8603847712278366
1,0.9907595,0.9883385,0.9894279301166534
1,0.46998063,0.5239559,0.4996670171618462
0,0.283928,0.29912463,0.2922861486673355
1,0.78068393,0.7685103,0.7739884257316589
1,0.71759856,0.7240999,0.721174281835556
0,0.0023387156,0.004019583,0.0032631927286274733
1,0.956543,0.9652748,0.9613455086946487
1,0.96282214,0.9574913,0.9598901659250259
0,0.05928802,0.051961124,0.05525822769850493
0,0.47286126,0.55807644,0.5197296097874642
1,0.96551657,0.97361153,0.9699687987565995
0,0.07864709,0.06822952,0.07291742675006391
0,0.085072376,0.09001367,0.08779008649289607
0,0.05754785,0.1413802,0.1036556450650096
1,0.57188785,0.6031065,0.58905810713768
1,0.96035534,0.9656065,0.9632434844970703
0,0.023333669,0.022370426,0.022803885210305453
1,0.5922913,0.62627727,0.6109835803508759
0,0.3509493,0.3846329,0.3694752663373947
1,0.6399602,0.60098004,0.6185211271047593
0,0.22910452,0.12065668,0.16945820562541483
1,0.99633276,0.9957967,0.9960379183292389
1,0.42093238,0.43792146,0.4302763774991035
0,0.06272811,0.057374023,0.05978336073458195
0,0.38231114,0.43376988,0.4106134459376335
1,0.60244507,0.5946435,0.5981541901826859
0,0.40647015,0.41462326,0.4109543606638908
1,0.43235227,0.42162114,0.42645015269517894
0,0.060664885,0.080185376,0.0714011549949646
1,0.5758959,0.6065129,0.5927352547645569
0,0.6736445,0.6647881,0.6687734872102737
0,0.13075727,0.11479278,0.12197680100798607
0,0.031696264,0.033408105,0.03263777662068605
1,0.9311393,0.9276151,0.9292009890079498
1,0.95659804,0.9604208,0.9587005525827408
1,0.55394495,0.4490199,0.4962361752986908
0,0.60818976,0.6075756,0.6078519701957703
1,0.95936644,0.9583467,0.9588055968284607
1,0.97007984,0.9643874,0.9669490069150924
0,0.09543425,0.114872605,0.10612534433603286
0,0.5071707,0.52591765,0.5174815118312835
0,0.08958243,0.095486104,0.0928294502198696
1,0.5991939,0.59007186,0.5941767632961273
1,0.4081885,0.40318123,0.40543449521064756
1,0.6231463,0.6630732,0.6451060831546784
0,0.12687938,0.12126895,0.12379364334046841
0,0.0041135885,0.0054601445,0.004854194284416736
0,0.017657684,0.02116619,0.01958736265078187
1,0.5639227,0.5984881,0.5829336673021317
0,0.6785939,0.627815,0.6506654977798462
1,0.4836988,0.47628912,0.47962347120046617
0,0.11267056,0.096792325,0.10393753238022327
