file,positive_rate,changed_vs_seed2024
submission_umanglodaya_seed2024_to_seed17_conf_top02.csv,0.5351882160392799,2
submission_umanglodaya_seed2024_to_seed0_conf_top02.csv,0.5356558335281739,2
submission_umanglodaya_seed2024_to_multi13_conf_top02.csv,0.5356558335281739,2
submission_umanglodaya_seed2024_to_seed17_conf_top03.csv,0.5349544072948328,3
submission_umanglodaya_seed2024_to_seed0_conf_top03.csv,0.5354220247837269,3
submission_umanglodaya_seed2024_to_multi13_conf_top03.csv,0.5354220247837269,3
submission_umanglodaya_seed2024_to_seed17_conf_top05.csv,0.5349544072948328,5
submission_umanglodaya_seed2024_blend_seed17_w75_rate535.csv,0.5354220247837269,5
submission_umanglodaya_seed2024_to_multi13_conf_top05.csv,0.5354220247837269,5
submission_umanglodaya_seed2024_to_seed0_conf_top05.csv,0.535889642272621,5
submission_umanglodaya_seed2024_blend_seed17_w75_t050.csv,0.5347205985503858,6
submission_umanglodaya_seed2024_blend_seed17_w75_rate53495.csv,0.5351882160392799,6
submission_umanglodaya_seed2024_blend_seed0_w75_t050.csv,0.5354220247837269,7
submission_umanglodaya_seed2024_blend_seed0_w75_rate535.csv,0.5354220247837269,7
submission_umanglodaya_seed2024_to_seed17_conf_top08.csv,0.5342529810614917,8
submission_umanglodaya_seed2024_blend_seed0_w75_rate53495.csv,0.5351882160392799,8
submission_umanglodaya_seed2024_blend_multi13_w75_rate53495.csv,0.5351882160392799,8
submission_umanglodaya_seed2024_to_multi13_conf_top08.csv,0.5351882160392799,8
submission_umanglodaya_seed2024_to_seed0_conf_top08.csv,0.5356558335281739,8
submission_umanglodaya_seed2024_blend_seed0_w67_rate535.csv,0.5354220247837269,9
submission_umanglodaya_seed2024_blend_multi13_w75_rate535.csv,0.5354220247837269,9
submission_umanglodaya_seed2024_blend_seed17_w67_t050.csv,0.5342529810614917,10
submission_umanglodaya_seed2024_blend_seed17_w67_rate53495.csv,0.5351882160392799,10
submission_umanglodaya_seed2024_blend_seed0_w67_rate53495.csv,0.5351882160392799,10
submission_umanglodaya_seed2024_blend_multi13_w67_rate53495.csv,0.5351882160392799,10
submission_umanglodaya_seed2024_blend_multi13_w75_t050.csv,0.5356558335281739,10
submission_umanglodaya_seed2024_blend_seed17_w67_rate535.csv,0.5354220247837269,11
submission_umanglodaya_seed2024_blend_seed17_w60_rate535.csv,0.5354220247837269,11
submission_umanglodaya_seed2024_blend_multi13_w67_t050.csv,0.5354220247837269,11
submission_umanglodaya_seed2024_blend_multi13_w67_rate535.csv,0.5354220247837269,11
submission_umanglodaya_seed2024_to_seed17_conf_top12.csv,0.5337853635725976,12
submission_umanglodaya_seed2024_blend_seed0_w67_t050.csv,0.5342529810614917,12
submission_umanglodaya_seed2024_to_seed0_conf_top12.csv,0.5347205985503858,12
submission_umanglodaya_seed2024_to_multi13_conf_top12.csv,0.5347205985503858,12
submission_umanglodaya_seed2024_blend_seed17_w60_rate53495.csv,0.5351882160392799,12
submission_umanglodaya_seed2024_blend_multi13_w60_rate53495.csv,0.5351882160392799,12
submission_umanglodaya_seed2024_blend_multi13_w60_t050.csv,0.5356558335281739,12
submission_umanglodaya_seed2024_blend_seed0_w60_t050.csv,0.5344867898059388,13
submission_umanglodaya_seed2024_blend_seed0_w60_rate535.csv,0.5354220247837269,13
submission_umanglodaya_seed2024_blend_multi13_w60_rate535.csv,0.5354220247837269,13
submission_umanglodaya_seed2024_blend_multi13_w50_rate535.csv,0.5354220247837269,13
submission_umanglodaya_seed2024_blend_seed17_w60_t050.csv,0.5337853635725976,14
submission_umanglodaya_seed2024_blend_seed0_w60_rate53495.csv,0.5351882160392799,14
submission_umanglodaya_seed2024_blend_multi13_w50_t050.csv,0.5351882160392799,14
submission_umanglodaya_seed2024_blend_multi13_w50_rate53495.csv,0.5351882160392799,14
submission_umanglodaya_seed2024_blend_seed0_w50_t050.csv,0.5344867898059388,15
submission_umanglodaya_seed2024_blend_seed0_w50_rate53495.csv,0.5351882160392799,16
submission_umanglodaya_seed2024_blend_seed0_w50_rate535.csv,0.5354220247837269,17
submission_umanglodaya_seed2024_blend_seed17_w50_rate53495.csv,0.5351882160392799,18
submission_umanglodaya_seed2024_blend_seed17_w50_t050.csv,0.5330839373392565,19
submission_umanglodaya_seed2024_blend_seed17_w50_rate535.csv,0.5354220247837269,19
